Player,player_id,team,date,home,opponent,win,team_pts,opp_pts,minutes,fgmade,fgatt,made3,att3,made1,att1,offrb,defrb,totrb,assist,steal,block,turnover,fouls,points,efficiency,,
Tina Charles,5,NYL,517,1,CHI,0,65,79,34,7,16,0,0,1,2,3,9,12,0,1,0,2,2,15,16,,
Tina Charles,5,NYL,524,0,MIN,0,82,87,33,9,18,0,0,6,6,7,7,14,2,1,1,4,1,24,29,,
Tina Charles,5,NYL,527,1,SEA,1,70,64,35,6,19,0,0,3,4,3,11,14,2,1,1,1,2,15,18,,
Tina Charles,5,NYL,530,0,WAS,0,60,68,31,4,11,0,0,0,0,1,6,7,1,1,1,2,1,8,9,,
Tina Charles,5,NYL,531,0,IND,0,66,70,30,9,12,0,0,4,4,4,10,14,0,0,0,5,2,22,28,,
Tina Charles,5,NYL,605,1,SAN,0,75,87,29,4,10,0,0,3,4,2,5,7,1,2,1,4,1,11,11,,
Tina Charles,5,NYL,608,1,WAS,1,81,64,24,5,11,0,0,4,7,2,6,8,1,1,0,1,1,14,14,,
Tina Charles,5,NYL,610,0,TUL,0,57,72,35,11,19,0,0,3,6,5,5,10,1,0,1,0,0,25,26,,
Tina Charles,5,NYL,613,1,CON,0,75,83,37,9,18,0,0,7,11,4,6,10,6,1,0,2,2,25,27,,
Tina Charles,5,NYL,615,0,CON,0,72,76,32,5,13,0,0,5,6,0,4,4,5,0,1,2,4,15,14,,
Tina Charles,5,NYL,618,0,CHI,0,100,105,38,10,17,0,0,5,6,3,5,8,4,0,1,2,6,25,28,,
Tina Charles,5,NYL,620,0,ATL,0,64,85,32,3,12,0,0,0,2,0,6,6,6,0,1,1,0,6,7,,
Tina Charles,5,NYL,622,1,ATL,1,85,78,27,5,13,0,0,2,2,1,7,8,3,3,1,3,3,12,16,,
Tina Charles,5,NYL,627,1,CHI,0,69,73,34,5,12,0,0,6,6,3,5,8,3,0,0,3,1,16,17,,
Tina Charles,5,NYL,629,1,CON,1,67,65,34,5,14,0,0,4,5,2,3,5,3,2,1,2,3,14,13,,
Tina Charles,5,NYL,701,1,TUL,1,90,74,36,13,20,0,0,2,3,3,11,14,2,2,2,3,3,28,37,,
Tina Charles,5,NYL,706,1,MIN,1,87,80,37,14,20,0,0,4,4,4,6,10,2,2,1,2,1,32,39,,
Tina Charles,5,NYL,709,0,SAN,0,66,80,25,3,9,0,0,0,0,0,3,3,2,2,1,0,2,6,8,,
Tina Charles,5,NYL,711,1,LAS,0,54,68,35,10,17,0,0,0,0,3,5,8,2,2,0,5,1,20,20,,
Tina Charles,5,NYL,716,1,ATL,1,77,75,36,7,21,0,0,4,5,6,9,15,5,1,1,6,1,18,19,,
Tina Charles,5,NYL,723,0,LAS,1,66,64,38,12,22,0,0,7,7,5,10,15,1,1,2,2,2,31,38,,
Tina Charles,5,NYL,724,0,SEA,1,84,80,38,8,17,0,0,2,2,2,12,14,1,1,2,1,2,18,26,,
Tina Charles,5,NYL,726,0,PHO,0,63,78,34,8,21,0,0,4,5,2,5,7,1,0,0,2,3,20,12,,
Tina Charles,5,NYL,729,1,WAS,1,80,76,39,10,25,0,0,3,4,5,7,12,2,1,0,4,0,23,18,,
Tina Charles,5,NYL,731,0,CHI,0,74,87,35,4,13,0,0,7,10,4,10,14,4,2,3,2,2,15,24,,
